# iteration cms_x cms_y cms_z cms_vy cms_vy cms_vz mass kinetic_energy
  246 +4.356493949890136718750e+00 +4.772288322448730468750e+00 +1.101873517036437988281e+00 +3.728025555610656738281e-01 +1.907353639602661132812e+00 -2.274584472179412841797e-01 1.546802929687500000000e+04 1.702681010287803073879e+05
  247 +4.375521659851074218750e+00 +4.867908954620361328125e+00 +1.089974164962768554688e+00 +3.216765522956848144531e-01 +1.871727466583251953125e+00 -2.487898617982864379883e-01 1.546802050781250000000e+04 1.646786831259960017633e+05
  248 +4.393411159515380859375e+00 +4.961895942687988281250e+00 +1.078181743621826171875e+00 +2.597257494926452636719e-01 +1.831349492073059082031e+00 -2.586683630943298339844e-01 1.547216503906250000000e+04 1.587395454998026834801e+05
  249 +4.406583309173583984375e+00 +5.053154468536376953125e+00 +1.065732717514038085938e+00 +1.837480068206787109375e-01 +1.782259225845336914062e+00 -2.589339017868041992188e-01 1.547215039062500000000e+04 1.522750354725349752698e+05
  250 +4.416200160980224609375e+00 +5.142915725708007812500e+00 +1.052984833717346191406e+00 +1.077310889959335327148e-01 +1.722926616668701171875e+00 -2.565391063690185546875e-01 1.547211816406250000000e+04 1.459272519432536500972e+05
  251 +4.421562671661376953125e+00 +5.229290008544921875000e+00 +1.039946913719177246094e+00 +2.660763077437877655029e-02 +1.653602123260498046875e+00 -2.575277388095855712891e-01 1.547215527343750000000e+04 1.396283060825371649116e+05
  252 +4.423547267913818359375e+00 +5.311691284179687500000e+00 +1.027320623397827148438e+00 -5.365631356835365295410e-02 +1.572748422622680664062e+00 -2.601875662803649902344e-01 1.547216406250000000000e+04 1.337467186295092105865e+05
  253 +4.420708656311035156250e+00 +5.390193462371826171875e+00 +1.014160275459289550781e+00 -1.323595792055130004883e-01 +1.484950780868530273438e+00 -2.597713470458984375000e-01 1.547214062500000000000e+04 1.282956994265477405861e+05
  254 +4.414070129394531250000e+00 +5.463738441467285156250e+00 +1.001602292060852050781e+00 -2.072901874780654907227e-01 +1.386792063713073730469e+00 -2.602114081382751464844e-01 1.547212011718750000000e+04 1.233217148772556247422e+05
  255 +4.403280735015869140625e+00 +5.532706260681152343750e+00 +9.883201122283935546875e-01 -2.814656496047973632812e-01 +1.281175136566162109375e+00 -2.649646103382110595703e-01 1.547214843750000000000e+04 1.187940026447720301803e+05
